dataset_accession,participant_id,run_id,trial_index,task_paradigm,stimulus_condition,raw_onset_sec,raw_duration_sec,raw_response_time_sec,response_time_ms,accuracy,is_cognitive_conflict
ds000164,sub-001,1,1,stroop,neutral,0.342,1.0,1.186,1186.0,1.0,0.0
ds000164,sub-001,1,2,stroop,congruent,3.345,1.0,0.667,667.0,1.0,0.0
ds000164,sub-001,1,3,stroop,congruent,12.346,1.0,0.614,614.0,1.0,0.0
ds000164,sub-001,1,4,stroop,neutral,15.349,1.0,0.696,696.0,1.0,0.0
ds000164,sub-001,1,5,stroop,neutral,18.35,1.0,0.752,752.0,1.0,0.0
ds000164,sub-001,1,6,stroop,incongruent,21.351,1.0,0.864,864.0,1.0,1.0
ds000164,sub-001,1,7,stroop,congruent,24.352,1.0,0.793,793.0,1.0,0.0
ds000164,sub-001,1,8,stroop,neutral,27.353,1.0,0.662,662.0,1.0,0.0
ds000164,sub-001,1,9,stroop,neutral,31.854,1.0,0.715,715.0,1.0,0.0
ds000164,sub-001,1,10,stroop,incongruent,34.855,1.0,0.792,792.0,1.0,1.0
ds000164,sub-001,1,11,stroop,neutral,43.856,1.0,0.739,739.0,1.0,0.0
ds000164,sub-001,1,12,stroop,congruent,46.859,1.0,1.028,1028.0,1.0,0.0
ds000164,sub-001,1,13,stroop,incongruent,49.86,1.0,0.785,785.0,1.0,1.0
ds000164,sub-001,1,14,stroop,congruent,52.861,1.0,0.789,789.0,1.0,0.0
ds000164,sub-001,1,15,stroop,neutral,55.862,1.0,0.898,898.0,0.0,0.0
ds000164,sub-001,1,16,stroop,neutral,58.863,1.0,0.907,907.0,1.0,0.0
ds000164,sub-001,1,17,stroop,incongruent,66.364,1.0,1.055,1055.0,1.0,1.0
ds000164,sub-001,1,18,stroop,incongruent,69.367,1.0,0.654,654.0,1.0,1.0
ds000164,sub-001,1,19,stroop,incongruent,81.368,1.0,0.662,662.0,1.0,1.0
ds000164,sub-001,1,20,stroop,incongruent,84.372,1.0,0.661,661.0,1.0,1.0
ds000164,sub-001,1,21,stroop,neutral,90.373,1.0,0.847,847.0,0.0,0.0
ds000164,sub-001,1,22,stroop,neutral,94.875,1.0,0.811,811.0,1.0,0.0
ds000164,sub-001,1,23,stroop,congruent,99.376,1.0,0.801,801.0,1.0,0.0
ds000164,sub-001,1,24,stroop,incongruent,106.878,1.0,0.737,737.0,1.0,1.0
ds000164,sub-001,1,25,stroop,congruent,112.88,1.0,1.007,1006.9999999999999,1.0,0.0
ds000164,sub-001,1,26,stroop,neutral,118.882,1.0,1.016,1016.0,1.0,0.0
ds000164,sub-001,1,27,stroop,neutral,121.885,1.0,0.745,745.0,1.0,0.0
ds000164,sub-001,1,28,stroop,congruent,126.386,1.0,0.923,923.0,1.0,0.0
ds000164,sub-001,1,29,stroop,congruent,141.387,1.0,0.938,938.0,1.0,0.0
ds000164,sub-001,1,30,stroop,neutral,144.392,1.0,0.747,747.0,1.0,0.0
ds000164,sub-001,1,31,stroop,incongruent,148.893,1.0,1.106,1106.0,1.0,1.0
ds000164,sub-001,1,32,stroop,incongruent,151.895,1.0,1.191,1191.0,1.0,1.0
