dataset_accession,participant_id,run_id,trial_index,task_paradigm,stimulus_condition,raw_onset_sec,raw_duration_sec,raw_response_time_sec,response_time_ms,accuracy,is_cognitive_conflict,prev_response_time_ms,prev_accuracy,cumulative_trial_num,rt_zscore_subject
ds000102,sub-01,1,1,flanker,incongruent,0.0,2.0,1.095,1095.0,1.0,1.0,,,1,3.895360558345828
ds000102,sub-01,1,2,flanker,incongruent,10.0,2.0,0.988,988.0,1.0,1.0,1095.0,1.0,2,3.2109540234640486
ds000102,sub-01,1,3,flanker,congruent,20.0,2.0,0.591,591.0,1.0,0.0,988.0,1.0,3,0.6716138893699704
ds000102,sub-01,1,4,flanker,congruent,30.0,2.0,0.499,499.0,1.0,0.0,591.0,1.0,4,0.08315219582675823
ds000102,sub-01,1,5,flanker,incongruent,40.0,2.0,0.719,719.0,1.0,1.0,499.0,1.0,5,1.4903432021257437
ds000102,sub-01,1,6,flanker,congruent,52.0,2.0,0.544,544.0,1.0,0.0,719.0,1.0,6,0.3709867198424598
ds000102,sub-01,1,7,flanker,congruent,64.0,2.0,0.436,436.0,1.0,0.0,544.0,1.0,7,-0.319816137795224
ds000102,sub-01,1,8,flanker,incongruent,76.0,2.0,0.47,470.0,1.0,1.0,436.0,1.0,8,-0.10234116409447168
ds000102,sub-01,1,9,flanker,congruent,88.0,2.0,0.409,409.0,1.0,0.0,470.0,1.0,9,-0.4925168522046449
ds000102,sub-01,1,10,flanker,incongruent,102.0,2.0,0.563,563.0,1.0,1.0,409.0,1.0,10,0.4925168522046449
ds000102,sub-01,1,11,flanker,congruent,116.0,2.0,0.493,493.0,1.0,0.0,563.0,1.0,11,0.04477425929133136
ds000102,sub-01,1,12,flanker,congruent,130.0,2.0,0.398,398.0,1.0,0.0,493.0,1.0,12,-0.5628764025195941
ds000102,sub-01,1,13,flanker,congruent,140.0,2.0,0.466,466.0,1.0,0.0,398.0,1.0,13,-0.1279264551180896
ds000102,sub-01,1,14,flanker,incongruent,150.0,2.0,0.518,518.0,1.0,1.0,466.0,1.0,14,0.20468232818894336
ds000102,sub-01,1,15,flanker,incongruent,164.0,2.0,0.56,560.0,1.0,1.0,518.0,1.0,15,0.4733278839369315
ds000102,sub-01,1,16,flanker,incongruent,174.0,2.0,0.533,533.0,1.0,1.0,560.0,1.0,16,0.30062716952751056
ds000102,sub-01,1,17,flanker,congruent,184.0,2.0,0.439,439.0,1.0,0.0,533.0,1.0,17,-0.30062716952751056
ds000102,sub-01,1,18,flanker,congruent,196.0,2.0,0.458,458.0,1.0,0.0,439.0,1.0,18,-0.17909703716532543
ds000102,sub-01,1,19,flanker,incongruent,208.0,2.0,0.734,734.0,1.0,1.0,458.0,1.0,19,1.586288043464311
ds000102,sub-01,1,20,flanker,incongruent,220.0,2.0,0.479,479.0,1.0,1.0,734.0,1.0,20,-0.04477425929133136
ds000102,sub-01,1,21,flanker,incongruent,232.0,2.0,0.538,538.0,1.0,1.0,479.0,1.0,21,0.3326087833070329
ds000102,sub-01,1,22,flanker,congruent,246.0,2.0,0.54,540.0,1.0,0.0,538.0,1.0,22,0.3454014288188419
ds000102,sub-01,1,23,flanker,incongruent,260.0,2.0,0.622,622.0,1.0,1.0,540.0,1.0,23,0.8698998948030092
ds000102,sub-01,1,24,flanker,congruent,274.0,2.0,0.488,488.0,1.0,0.0,622.0,1.0,24,0.01279264551180896
