subject_id,trial_index,task_type,current_difficulty,accuracy,response_time_ms,error_count,hints_used,completion_rate,consecutive_successes,consecutive_errors,target_action
SUBJ_NER_001,1,memory_match,1,1.0,1771,0,0,1.0,1,0,1
SUBJ_NER_001,2,pattern_recognition,1,0.0,1757,1,1,1.0,0,1,0
SUBJ_NER_001,3,routine_recall,1,1.0,2582,0,0,1.0,1,0,1
SUBJ_NER_001,4,object_memory,1,0.0,2285,1,0,1.0,0,1,0
SUBJ_NER_001,5,reminiscence,1,1.0,1345,0,0,1.0,1,0,1
SUBJ_NER_001,6,memory_match,1,0.0,3076,2,0,1.0,0,1,0
SUBJ_NER_001,7,pattern_recognition,1,0.0,1484,1,0,1.0,0,2,0
SUBJ_NER_001,8,routine_recall,1,0.0,1978,3,0,1.0,0,3,0
SUBJ_NER_001,9,object_memory,1,1.0,1479,0,0,1.0,0,4,0
SUBJ_NER_001,10,reminiscence,1,1.0,2189,0,0,1.0,0,5,0
SUBJ_NER_001,11,memory_match,1,0.0,1827,2,2,1.0,0,6,0
SUBJ_NER_001,12,pattern_recognition,1,0.0,2787,2,0,1.0,0,7,0
SUBJ_NER_001,13,routine_recall,1,0.0,1607,3,0,1.0,0,8,0
SUBJ_NER_001,14,object_memory,1,1.0,1110,0,0,1.0,0,9,0
SUBJ_NER_001,15,reminiscence,1,0.0,1470,2,0,1.0,0,10,0
SUBJ_NER_001,16,memory_match,1,1.0,1935,0,0,1.0,0,11,0
SUBJ_NER_001,17,pattern_recognition,1,1.0,1887,0,0,1.0,0,12,0
SUBJ_NER_001,18,routine_recall,1,0.0,1765,1,1,1.0,0,13,0
SUBJ_NER_001,19,object_memory,1,0.0,2158,3,0,1.0,0,14,0
SUBJ_NER_001,20,reminiscence,1,1.0,1851,0,0,1.0,0,15,0
SUBJ_NER_001,21,memory_match,1,0.0,2471,1,1,1.0,0,16,0
SUBJ_NER_001,22,pattern_recognition,1,1.0,1690,0,0,1.0,0,17,0
SUBJ_NER_001,23,routine_recall,1,1.0,2261,0,0,1.0,0,18,0
SUBJ_NER_001,24,object_memory,1,0.0,1778,3,0,1.0,0,19,0
SUBJ_NER_001,25,reminiscence,1,1.0,1812,0,0,1.0,0,20,0
SUBJ_NER_001,26,memory_match,1,1.0,1387,0,0,1.0,0,21,0
SUBJ_NER_001,27,pattern_recognition,1,0.0,2578,1,0,1.0,0,22,0
SUBJ_NER_001,28,routine_recall,1,0.0,1778,1,2,1.0,0,23,0
SUBJ_NER_001,29,object_memory,1,1.0,2344,0,0,1.0,0,24,0
SUBJ_NER_001,30,reminiscence,1,0.0,1960,2,0,1.0,0,25,0
SUBJ_NER_001,31,memory_match,1,1.0,2103,0,0,1.0,0,26,0
SUBJ_NER_001,32,pattern_recognition,1,1.0,1531,0,0,1.0,0,27,0
SUBJ_NER_001,33,routine_recall,1,0.0,2244,2,0,1.0,0,28,0
SUBJ_NER_001,34,object_memory,1,0.0,1921,3,0,1.0,0,29,0
SUBJ_NER_001,35,reminiscence,1,0.0,2432,1,1,1.0,0,30,0
SUBJ_NER_001,36,memory_match,1,1.0,1675,0,0,1.0,0,31,0
SUBJ_NER_001,37,pattern_recognition,1,0.0,2458,1,1,1.0,0,32,0
SUBJ_NER_001,38,routine_recall,1,0.0,2688,3,0,1.0,0,33,0
SUBJ_NER_001,39,object_memory,1,1.0,1618,0,0,1.0,0,34,0
SUBJ_NER_001,40,reminiscence,1,1.0,1776,0,0,1.0,0,35,0
SUBJ_NER_001,41,memory_match,1,0.0,2505,1,0,1.0,0,36,0
SUBJ_NER_001,42,pattern_recognition,1,1.0,1721,0,0,1.0,0,37,0
SUBJ_NER_001,43,routine_recall,1,1.0,1534,0,0,1.0,0,38,0
SUBJ_NER_001,44,object_memory,1,1.0,2015,0,0,1.0,0,39,0
SUBJ_NER_001,45,reminiscence,1,1.0,1927,0,0,1.0,0,40,0
SUBJ_NER_001,46,memory_match,1,0.0,2836,1,0,1.0,0,41,0
SUBJ_NER_001,47,pattern_recognition,1,1.0,1123,0,0,1.0,0,42,0
SUBJ_NER_001,48,routine_recall,1,0.0,1996,1,1,1.0,0,43,0
SUBJ_NER_001,49,object_memory,1,0.0,1649,1,0,1.0,0,44,0
SUBJ_NER_001,50,reminiscence,1,0.0,2935,2,0,1.0,0,45,0
SUBJ_NER_001,51,memory_match,1,1.0,1478,0,0,1.0,0,46,0
SUBJ_NER_001,52,pattern_recognition,1,0.0,2071,1,0,1.0,0,47,0
SUBJ_NER_001,53,routine_recall,1,0.0,2391,1,0,1.0,0,48,0
SUBJ_NER_001,54,object_memory,1,0.0,2589,1,2,1.0,0,49,0
SUBJ_NER_001,55,reminiscence,1,1.0,1951,0,0,1.0,0,50,0
SUBJ_NER_001,56,memory_match,1,0.0,1793,2,0,1.0,0,51,0
SUBJ_NER_001,57,pattern_recognition,1,0.0,1928,1,0,1.0,0,52,0
SUBJ_NER_001,58,routine_recall,1,0.0,2822,2,0,1.0,0,53,0
SUBJ_NER_001,59,object_memory,1,1.0,1281,0,0,1.0,0,54,0
SUBJ_NER_001,60,reminiscence,1,1.0,1658,0,0,1.0,0,55,0
SUBJ_NER_002,1,memory_match,1,0.0,2287,1,0,1.0,0,1,0
SUBJ_NER_002,2,pattern_recognition,1,0.0,2799,1,1,1.0,0,2,0
SUBJ_NER_002,3,routine_recall,1,0.0,2088,1,0,1.0,0,3,0
SUBJ_NER_002,4,object_memory,1,0.0,2994,1,1,1.0,0,4,0
SUBJ_NER_002,5,reminiscence,1,0.0,3303,1,1,1.0,0,5,0
SUBJ_NER_002,6,memory_match,1,0.0,2911,1,0,1.0,0,6,0
SUBJ_NER_002,7,pattern_recognition,1,0.0,3037,2,1,1.0,0,7,0
SUBJ_NER_002,8,routine_recall,1,1.0,2203,0,0,1.0,0,8,0
SUBJ_NER_002,9,object_memory,1,0.0,3983,2,0,1.0,0,9,0
SUBJ_NER_002,10,reminiscence,1,0.0,2455,2,1,1.0,0,10,0
SUBJ_NER_002,11,memory_match,1,1.0,2302,0,0,1.0,0,11,0
SUBJ_NER_002,12,pattern_recognition,1,0.0,3423,1,0,1.0,0,12,0
SUBJ_NER_002,13,routine_recall,1,0.0,2559,1,0,1.0,0,13,0
SUBJ_NER_002,14,object_memory,1,0.0,2176,1,0,1.0,0,14,0
SUBJ_NER_002,15,reminiscence,1,0.0,2667,2,0,1.0,0,15,0
SUBJ_NER_002,16,memory_match,1,0.0,2772,1,0,1.0,0,16,0
SUBJ_NER_002,17,pattern_recognition,1,0.0,2230,2,1,1.0,0,17,0
SUBJ_NER_002,18,routine_recall,1,0.0,3028,1,1,1.0,0,18,0
SUBJ_NER_002,19,object_memory,1,0.0,2500,1,0,1.0,0,19,0
SUBJ_NER_002,20,reminiscence,1,0.0,3589,1,1,1.0,0,20,0
SUBJ_NER_002,21,memory_match,1,0.0,2850,1,0,1.0,0,21,0
SUBJ_NER_002,22,pattern_recognition,1,1.0,2882,0,0,1.0,0,22,0
SUBJ_NER_002,23,routine_recall,1,0.0,2814,3,2,1.0,0,23,0
SUBJ_NER_002,24,object_memory,1,0.0,3074,2,0,1.0,0,24,0
SUBJ_NER_002,25,reminiscence,1,0.0,2402,2,1,1.0,0,25,0
SUBJ_NER_002,26,memory_match,1,0.0,2808,1,0,1.0,0,26,0
SUBJ_NER_002,27,pattern_recognition,1,0.0,2068,3,0,1.0,0,27,0
SUBJ_NER_002,28,routine_recall,1,0.0,2457,2,0,1.0,0,28,0
SUBJ_NER_002,29,object_memory,1,0.0,3170,2,0,1.0,0,29,0
SUBJ_NER_002,30,reminiscence,1,0.0,2726,3,0,1.0,0,30,0
SUBJ_NER_002,31,memory_match,1,0.0,3213,1,0,1.0,0,31,0
SUBJ_NER_002,32,pattern_recognition,1,0.0,2868,1,1,1.0,0,32,0
SUBJ_NER_002,33,routine_recall,1,0.0,2381,1,0,1.0,0,33,0
SUBJ_NER_002,34,object_memory,1,0.0,2085,2,0,1.0,0,34,0
SUBJ_NER_002,35,reminiscence,1,0.0,2873,2,1,1.0,0,35,0
SUBJ_NER_002,36,memory_match,1,1.0,3739,0,0,1.0,0,36,0
SUBJ_NER_002,37,pattern_recognition,1,0.0,3998,2,2,1.0,0,37,0
SUBJ_NER_002,38,routine_recall,1,0.0,1979,1,0,1.0,0,38,0
SUBJ_NER_002,39,object_memory,1,0.0,3435,2,1,1.0,0,39,0
SUBJ_NER_002,40,reminiscence,1,0.0,2624,2,0,1.0,0,40,0
SUBJ_NER_002,41,memory_match,1,0.0,2419,3,0,1.0,0,41,0
SUBJ_NER_002,42,pattern_recognition,1,0.0,2656,3,0,1.0,0,42,0
SUBJ_NER_002,43,routine_recall,1,0.0,4788,2,0,1.0,0,43,0
SUBJ_NER_002,44,object_memory,1,0.0,2663,1,0,1.0,0,44,0
SUBJ_NER_002,45,reminiscence,1,0.0,3063,2,1,1.0,0,45,0
SUBJ_NER_002,46,memory_match,1,0.0,2739,1,2,1.0,0,46,0
SUBJ_NER_002,47,pattern_recognition,1,1.0,2364,0,0,1.0,0,47,0
SUBJ_NER_002,48,routine_recall,1,0.0,3579,2,1,1.0,0,48,0
SUBJ_NER_002,49,object_memory,1,0.0,3131,1,0,1.0,0,49,0
SUBJ_NER_002,50,reminiscence,1,0.0,2861,2,1,1.0,0,50,0
SUBJ_NER_002,51,memory_match,1,0.0,2552,3,0,1.0,0,51,0
SUBJ_NER_002,52,pattern_recognition,1,1.0,1898,0,0,1.0,0,52,0
SUBJ_NER_002,53,routine_recall,1,0.0,3233,1,0,1.0,0,53,0
SUBJ_NER_002,54,object_memory,1,0.0,2389,1,0,1.0,0,54,0
SUBJ_NER_002,55,reminiscence,1,0.0,3514,1,0,1.0,0,55,0
SUBJ_NER_002,56,memory_match,1,0.0,3330,1,0,0.8,0,56,0
SUBJ_NER_002,57,pattern_recognition,1,1.0,2911,0,0,1.0,0,57,0
SUBJ_NER_002,58,routine_recall,1,0.0,2631,3,0,0.5,0,58,0
SUBJ_NER_002,59,object_memory,1,0.0,2839,1,0,0.8,0,59,0
SUBJ_NER_002,60,reminiscence,1,0.0,2529,2,0,1.0,0,60,0
SUBJ_NER_003,1,memory_match,1,0.0,3442,2,0,1.0,0,1,0
SUBJ_NER_003,2,pattern_recognition,1,0.0,2539,1,0,1.0,0,2,0
SUBJ_NER_003,3,routine_recall,1,1.0,1607,0,0,1.0,0,3,0
SUBJ_NER_003,4,object_memory,1,0.0,2117,2,0,1.0,0,4,0
SUBJ_NER_003,5,reminiscence,1,0.0,3588,1,0,1.0,0,5,0
SUBJ_NER_003,6,memory_match,1,1.0,2644,0,0,1.0,0,6,0
SUBJ_NER_003,7,pattern_recognition,1,0.0,2715,2,0,1.0,0,7,0
SUBJ_NER_003,8,routine_recall,1,1.0,1707,0,0,1.0,0,8,0
SUBJ_NER_003,9,object_memory,1,0.0,3091,1,0,1.0,0,9,0
SUBJ_NER_003,10,reminiscence,1,0.0,2308,2,0,1.0,0,10,0
SUBJ_NER_003,11,memory_match,1,1.0,3214,0,0,1.0,0,11,0
SUBJ_NER_003,12,pattern_recognition,1,0.0,3197,1,0,1.0,0,12,0
SUBJ_NER_003,13,routine_recall,1,1.0,2132,0,0,1.0,0,13,0
SUBJ_NER_003,14,object_memory,1,1.0,1938,0,0,1.0,0,14,0
SUBJ_NER_003,15,reminiscence,1,1.0,1872,0,0,1.0,0,15,0
SUBJ_NER_003,16,memory_match,1,0.0,2247,2,0,1.0,0,16,0
SUBJ_NER_003,17,pattern_recognition,1,1.0,2166,0,0,1.0,0,17,0
SUBJ_NER_003,18,routine_recall,1,1.0,2396,0,0,1.0,0,18,0
SUBJ_NER_003,19,object_memory,1,1.0,2235,0,0,1.0,0,19,0
SUBJ_NER_003,20,reminiscence,1,1.0,2083,0,0,1.0,0,20,0
SUBJ_NER_003,21,memory_match,1,0.0,3522,1,1,1.0,0,21,0
SUBJ_NER_003,22,pattern_recognition,1,1.0,2600,0,0,1.0,0,22,0
SUBJ_NER_003,23,routine_recall,1,0.0,2351,1,0,1.0,0,23,0
SUBJ_NER_003,24,object_memory,1,0.0,3554,1,0,1.0,0,24,0
SUBJ_NER_003,25,reminiscence,1,1.0,1871,0,0,1.0,0,25,0
SUBJ_NER_003,26,memory_match,1,1.0,3038,0,0,1.0,0,26,0
SUBJ_NER_003,27,pattern_recognition,1,0.0,2795,1,0,1.0,0,27,0
SUBJ_NER_003,28,routine_recall,1,1.0,2857,0,0,1.0,0,28,0
SUBJ_NER_003,29,object_memory,1,0.0,2611,1,0,1.0,0,29,0
SUBJ_NER_003,30,reminiscence,1,0.0,2819,1,1,1.0,0,30,0
SUBJ_NER_003,31,memory_match,1,0.0,2812,1,0,1.0,0,31,0
SUBJ_NER_003,32,pattern_recognition,1,0.0,2794,2,0,1.0,0,32,0
SUBJ_NER_003,33,routine_recall,1,0.0,2809,1,0,1.0,0,33,0
SUBJ_NER_003,34,object_memory,1,0.0,2178,2,1,1.0,0,34,0
SUBJ_NER_003,35,reminiscence,1,1.0,1575,0,0,1.0,0,35,0
SUBJ_NER_003,36,memory_match,1,0.0,3345,2,0,1.0,0,36,0
SUBJ_NER_003,37,pattern_recognition,1,0.0,2635,2,0,1.0,0,37,0
SUBJ_NER_003,38,routine_recall,1,0.0,3570,2,0,1.0,0,38,0
SUBJ_NER_003,39,object_memory,1,0.0,3329,1,0,1.0,0,39,0
SUBJ_NER_003,40,reminiscence,1,0.0,1524,1,1,1.0,0,40,0
SUBJ_NER_003,41,memory_match,1,0.0,3441,2,0,1.0,0,41,0
SUBJ_NER_003,42,pattern_recognition,1,1.0,1597,0,0,1.0,0,42,0
SUBJ_NER_003,43,routine_recall,1,1.0,1884,0,0,1.0,0,43,0
SUBJ_NER_003,44,object_memory,1,0.0,2746,1,0,1.0,0,44,0
SUBJ_NER_003,45,reminiscence,1,1.0,2113,0,0,1.0,0,45,0
SUBJ_NER_003,46,memory_match,1,1.0,3557,0,0,1.0,0,46,0
SUBJ_NER_003,47,pattern_recognition,1,0.0,1761,1,0,1.0,0,47,0
SUBJ_NER_003,48,routine_recall,1,0.0,2512,2,0,1.0,0,48,0
SUBJ_NER_003,49,object_memory,1,1.0,1890,0,0,1.0,0,49,0
SUBJ_NER_003,50,reminiscence,1,0.0,2649,1,0,1.0,0,50,0
SUBJ_NER_003,51,memory_match,1,1.0,2216,0,0,1.0,0,51,0
SUBJ_NER_003,52,pattern_recognition,1,1.0,2200,0,0,1.0,0,52,0
SUBJ_NER_003,53,routine_recall,1,0.0,2133,2,0,1.0,0,53,0
SUBJ_NER_003,54,object_memory,1,0.0,2685,1,0,1.0,0,54,0
SUBJ_NER_003,55,reminiscence,1,0.0,2603,1,0,1.0,0,55,0
SUBJ_NER_003,56,memory_match,1,0.0,2674,1,0,1.0,0,56,0
SUBJ_NER_003,57,pattern_recognition,1,1.0,2139,0,0,1.0,0,57,0
SUBJ_NER_003,58,routine_recall,1,0.0,2591,1,0,1.0,0,58,0
SUBJ_NER_003,59,object_memory,1,0.0,3441,1,0,1.0,0,59,0
SUBJ_NER_003,60,reminiscence,1,1.0,2725,0,0,0.8,0,60,0
SUBJ_NER_004,1,memory_match,1,0.0,2875,1,1,1.0,0,1,0
SUBJ_NER_004,2,pattern_recognition,1,0.0,2220,2,0,1.0,0,2,0
SUBJ_NER_004,3,routine_recall,1,1.0,1871,0,0,1.0,0,3,0
SUBJ_NER_004,4,object_memory,1,1.0,1921,0,0,1.0,0,4,0
SUBJ_NER_004,5,reminiscence,1,1.0,1788,0,0,1.0,0,5,0
SUBJ_NER_004,6,memory_match,1,1.0,1639,0,0,1.0,0,6,0
SUBJ_NER_004,7,pattern_recognition,1,0.0,2453,1,0,1.0,0,7,0
SUBJ_NER_004,8,routine_recall,1,0.0,2547,1,0,1.0,0,8,0
SUBJ_NER_004,9,object_memory,1,0.0,1997,3,1,1.0,0,9,0
SUBJ_NER_004,10,reminiscence,1,0.0,2072,1,1,1.0,0,10,0
SUBJ_NER_004,11,memory_match,1,1.0,1595,0,0,1.0,0,11,0
SUBJ_NER_004,12,pattern_recognition,1,0.0,1586,2,0,1.0,0,12,0
SUBJ_NER_004,13,routine_recall,1,0.0,1601,2,1,1.0,0,13,0
SUBJ_NER_004,14,object_memory,1,0.0,2566,1,1,1.0,0,14,0
SUBJ_NER_004,15,reminiscence,1,1.0,1627,0,0,1.0,0,15,0
SUBJ_NER_004,16,memory_match,1,0.0,1944,1,0,1.0,0,16,0
SUBJ_NER_004,17,pattern_recognition,1,1.0,2491,0,0,1.0,0,17,0
SUBJ_NER_004,18,routine_recall,1,0.0,1701,2,0,1.0,0,18,0
SUBJ_NER_004,19,object_memory,1,1.0,1199,0,0,1.0,0,19,0
SUBJ_NER_004,20,reminiscence,1,1.0,1606,0,0,1.0,0,20,0
SUBJ_NER_004,21,memory_match,1,0.0,1664,3,1,1.0,0,21,0
SUBJ_NER_004,22,pattern_recognition,1,0.0,2318,1,0,1.0,0,22,0
SUBJ_NER_004,23,routine_recall,1,0.0,2650,2,0,1.0,0,23,0
SUBJ_NER_004,24,object_memory,1,1.0,1566,0,0,1.0,0,24,0
SUBJ_NER_004,25,reminiscence,1,1.0,1868,0,0,1.0,0,25,0
SUBJ_NER_004,26,memory_match,1,0.0,2152,2,0,1.0,0,26,0
SUBJ_NER_004,27,pattern_recognition,1,0.0,1529,1,0,1.0,0,27,0
SUBJ_NER_004,28,routine_recall,1,0.0,2276,1,2,1.0,0,28,0
SUBJ_NER_004,29,object_memory,1,1.0,2241,0,0,1.0,0,29,0
SUBJ_NER_004,30,reminiscence,1,0.0,1217,3,1,1.0,0,30,0
SUBJ_NER_004,31,memory_match,1,1.0,2241,0,0,1.0,0,31,0
SUBJ_NER_004,32,pattern_recognition,1,0.0,3073,1,0,1.0,0,32,0
SUBJ_NER_004,33,routine_recall,1,0.0,2528,1,0,1.0,0,33,0
SUBJ_NER_004,34,object_memory,1,1.0,2036,0,0,1.0,0,34,0
SUBJ_NER_004,35,reminiscence,1,0.0,1926,2,0,1.0,0,35,0
SUBJ_NER_004,36,memory_match,1,0.0,2461,1,1,1.0,0,36,0
SUBJ_NER_004,37,pattern_recognition,1,0.0,4138,1,2,1.0,0,37,0
SUBJ_NER_004,38,routine_recall,1,1.0,1732,0,0,1.0,0,38,0
SUBJ_NER_004,39,object_memory,1,0.0,1990,2,1,1.0,0,39,0
SUBJ_NER_004,40,reminiscence,1,0.0,3297,2,0,1.0,0,40,0
SUBJ_NER_004,41,memory_match,1,0.0,1738,2,0,1.0,0,41,0
SUBJ_NER_004,42,pattern_recognition,1,0.0,3098,1,0,1.0,0,42,0
SUBJ_NER_004,43,routine_recall,1,1.0,2034,0,0,1.0,0,43,0
SUBJ_NER_004,44,object_memory,1,0.0,1540,2,0,1.0,0,44,0
SUBJ_NER_004,45,reminiscence,1,1.0,1364,0,0,1.0,0,45,0
SUBJ_NER_004,46,memory_match,1,0.0,2082,1,0,1.0,0,46,0
SUBJ_NER_004,47,pattern_recognition,1,0.0,2402,2,1,1.0,0,47,0
SUBJ_NER_004,48,routine_recall,1,0.0,2091,1,0,1.0,0,48,0
SUBJ_NER_004,49,object_memory,1,0.0,2252,2,0,1.0,0,49,0
SUBJ_NER_004,50,reminiscence,1,0.0,2453,3,1,1.0,0,50,0
SUBJ_NER_004,51,memory_match,1,0.0,1439,2,0,1.0,0,51,0
SUBJ_NER_004,52,pattern_recognition,1,0.0,1749,1,0,1.0,0,52,0
SUBJ_NER_004,53,routine_recall,1,0.0,3243,1,0,1.0,0,53,0
SUBJ_NER_004,54,object_memory,1,0.0,2156,1,0,1.0,0,54,0
SUBJ_NER_004,55,reminiscence,1,0.0,1562,1,0,0.5,0,55,0
SUBJ_NER_004,56,memory_match,1,1.0,1647,0,0,1.0,0,56,0
SUBJ_NER_004,57,pattern_recognition,1,1.0,1224,0,0,1.0,0,57,0
SUBJ_NER_004,58,routine_recall,1,1.0,1533,0,0,0.8,0,58,0
SUBJ_NER_004,59,object_memory,1,1.0,1848,0,0,1.0,0,59,0
SUBJ_NER_004,60,reminiscence,1,1.0,1240,0,0,1.0,0,60,0
SUBJ_NER_005,1,memory_match,1,0.0,1494,2,2,1.0,0,1,0
SUBJ_NER_005,2,pattern_recognition,1,0.0,1568,1,0,1.0,0,2,0
SUBJ_NER_005,3,routine_recall,1,1.0,804,0,0,1.0,0,3,0
SUBJ_NER_005,4,object_memory,1,0.0,1657,1,0,1.0,0,4,0
SUBJ_NER_005,5,reminiscence,1,1.0,1298,0,0,1.0,0,5,0
SUBJ_NER_005,6,memory_match,1,1.0,1432,0,0,1.0,0,6,0
SUBJ_NER_005,7,pattern_recognition,1,0.0,1248,1,0,1.0,0,7,0
SUBJ_NER_005,8,routine_recall,1,0.0,2041,1,1,1.0,0,8,0
SUBJ_NER_005,9,object_memory,1,0.0,1745,1,0,1.0,0,9,0
SUBJ_NER_005,10,reminiscence,1,0.0,1585,2,0,1.0,0,10,0
SUBJ_NER_005,11,memory_match,1,1.0,1092,0,0,1.0,0,11,0
SUBJ_NER_005,12,pattern_recognition,1,1.0,1272,0,0,1.0,0,12,0
SUBJ_NER_005,13,routine_recall,1,0.0,1940,1,0,1.0,0,13,0
